Mushroom Variety,Temperature (°C),Humidity %,Airflow Speed (m/s),Light Intensity (lux),Substrate Moisture Level %,Water Quality Index,Harvest Count per Cycle,Variety_ID
Enoki,11.31,98.6,0.1,31.65,80.06,97.2,27.84,1
Milky,27.13,72.38,0.81,197.12,54.67,74.67,9.02,3
Oyster,11.65,94.53,0.21,48.88,75.3,81.14,27.14,4
Lion's Mane,19.71,90.16,0.19,80.17,69.89,93.48,13.73,2
Oyster,23.65,86.74,0.41,109.7,63.65,85.51,16.79,4
Oyster,24.46,89.78,0.31,114.37,74.29,84.56,20.21,4
Enoki,11.71,98.21,0.1,30.67,78.06,88.38,31.48,1
Enoki,11.32,95.33,0.1,38.22,76.59,85.27,29.31,1
Shiitake,20.02,87.61,0.64,148.49,56.97,84.87,11.52,6
Button,19.57,86.54,0.31,105.3,76.13,94.1,23.8,0
Button,19.52,94.21,0.28,102.44,80.49,88.07,23.9,0
Lion's Mane,21.4,88.89,0.31,99.39,64.5,88.37,16.37,2
Lion's Mane,20.97,97.53,0.19,85.62,70.25,91.37,16.06,2
Oyster,20.12,87.18,0.49,130.81,67.44,77.05,17.38,4
Enoki,10.12,94.07,0.1,38.42,79.97,91.01,27.48,1
Enoki,12.25,103.77,0.1,31.2,74.9,91.9,27.66,1
Lion's Mane,21.86,85.13,0.41,89.39,70.1,91.42,14.82,2
Button,19.47,89.89,0.09,62.64,82.32,89.84,24.81,0
Milky,24.77,66.94,0.59,199.52,60.97,76.63,10.21,3
Milky,22.32,85.28,0.38,134.4,63.74,91.64,16.97,3
Lion's Mane,21.08,93.16,0.29,82.71,70.21,91.13,15.19,2
Oyster,19.92,86.8,0.47,131.73,63.63,78.75,17.55,4
Lion's Mane,22.14,89.27,0.3,96.84,74.37,81.2,15.72,2
Portobello,19.35,94.15,0.51,127.52,64.24,80.19,18.84,5
Oyster,24.38,98.27,0.28,112.86,72.21,76.12,19.39,4
Oyster,25.08,85.16,0.32,110.72,70.45,83.26,18.93,4
Shiitake,20.58,80.32,0.61,150.65,61.07,78.75,12.3,6
Shiitake,21.8,81.95,0.49,148.12,59.87,74.41,13.53,6
Enoki,10.43,91.08,0.1,43.86,81.77,84.17,28.77,1
Shiitake,21.8,87.17,0.59,156.09,60.41,76.03,11.89,6
Shiitake,21.67,78.59,0.46,138.91,64.17,79.02,13.78,6
Milky,28.59,70.1,0.8,193.26,58.24,71.23,8.77,3
Oyster,22.65,88.85,0.47,149.22,69.99,81.09,16.57,4
Enoki,12.1,99.85,0.1,27.88,77.28,80.66,27.83,1
Oyster,22.47,84.97,0.4,124.6,59.75,83.23,18.84,4
Milky,26.09,80.18,0.61,197.45,55.82,77.49,9.77,3
Lion's Mane,20.76,91.56,0.39,86.55,70.6,89.79,14.31,2
Button,20.77,83.11,0.3,98.77,71.54,85.55,21.15,0
Button,17.47,96.57,0.17,80.57,80.06,96.74,24.71,0
Lion's Mane,21.07,87.23,0.38,84.52,71.46,88.27,15.49,2
Button,18.78,90.97,0.1,58.88,72.38,85.69,24.49,0
Enoki,13.24,95.66,0.21,46.09,73.66,89.85,25.91,1
Button,10.04,88.24,0.1,40.68,87.19,95.67,28.89,0
Oyster,23.44,83.47,0.54,140.37,67.5,72.15,16.91,4
Enoki,10.26,103.23,0.1,40.64,86.48,91.29,29.11,1
Enoki,12.05,89.53,0.21,49.46,80.05,87.85,26.12,1
Enoki,10.36,86.28,0.1,41.59,78.81,90.87,29.38,1
Lion's Mane,21.67,86.05,0.4,89.08,66.68,84.37,13.78,2
Portobello,18.62,90.88,0.52,129.14,59.14,81.47,19.03,5
Oyster,22.57,80.66,0.4,120.54,67.21,81.92,18.06,4
Button,17.89,96.84,0.1,55.29,74.9,88.66,23.75,0
Portobello,19.61,87.85,0.3,102.15,79.22,86.63,22.63,5
Lion's Mane,20.88,93.73,0.2,78.69,71.72,88.34,14.77,2
Milky,24.42,74.74,0.78,205.04,50.7,67.75,9.65,3
Oyster,25.29,87.54,0.29,106.03,63.99,84.14,16.24,4
Enoki,22.11,87.53,0.3,87.47,70.76,89.5,15.22,1
Shiitake,23.87,78.83,0.7,174.2,58.84,67.52,10.38,6
Portobello,18.58,82.44,0.4,151.16,67.41,88.22,20.14,5
Shiitake,21.8,91.5,0.61,145.43,60.44,75.43,11.51,6
Milky,25.37,78.69,0.61,188.37,54.84,75.3,9.99,3
Enoki,10.61,96.61,0.1,28.81,80.26,87.58,27.59,1
Portobello,16.25,78.74,0.53,123.6,60.67,79.63,19.14,5
Lion's Mane,22.68,81.51,0.29,94.2,63.98,83.01,16.84,2
Lion's Mane,20.06,91.34,0.2,76.31,63.35,97.01,14.02,2
Button,22.34,88.65,0.4,84.24,66.47,92.43,14.96,0
Lion's Mane,20.52,82.09,0.38,86.2,64.26,84.54,14.55,2
Button,20.46,92.54,0.29,99.65,82.06,85.99,24.68,0
Button,17.65,93.96,0.1,55.13,78.75,84.07,22.61,0
Lion's Mane,20.8,84.58,0.4,90.79,65.73,85.84,14.54,2
Button,20.67,75.45,0.31,100.6,75.15,87.04,21.42,0
Portobello,17.78,79.08,0.41,135.7,67.13,86.3,17.43,5
Oyster,21.89,87.68,0.42,117.26,63.79,89.58,17.91,4
Button,18.8,93.63,0.29,100.22,75.74,86.99,21.7,0
Lion's Mane,20.15,87.35,0.43,84.55,69.46,81.95,15.83,2
Button,19.11,89.96,0.3,102.66,83.33,83.4,22.61,0
Portobello,19.68,90.54,0.45,145.77,70.71,85.3,19.61,5
Lion's Mane,20.63,85.25,0.4,87.33,66.17,89.22,15.82,2
Portobello,21.22,85.8,0.42,95.09,69.09,87.83,15.74,5
Oyster,21.78,86.98,0.55,148.7,69.37,83.92,17.54,4
Enoki,10.47,93.39,0.1,38.73,77.2,95.13,27.3,1
Lion's Mane,20.93,85.46,0.42,90.01,69.34,80.93,14.56,2
Oyster,22.17,89.58,0.45,131.64,63.79,74.59,15.65,4
Oyster,23.74,91.22,0.28,112.99,76.69,85.99,19.09,4
Oyster,23.79,85.89,0.29,111.89,71.22,80.23,18.54,4
Shiitake,22.18,77.25,0.71,146.42,57.34,70.92,10.42,6
Enoki,9.93,98.77,0.1,40.28,80.51,92.4,30.13,1
Shiitake,21.14,81.7,0.6,143.16,61.91,72.78,12.64,6
Enoki,12.52,88.51,0.2,49.25,74.08,91.62,26.27,1
Lion's Mane,21.02,86.81,0.3,92.32,69.46,83.74,15.11,2
Shiitake,21.86,83.31,0.49,153.21,61.12,74.1,12.71,6
Shiitake,23.03,80.42,0.66,167.46,57.02,74.35,11.4,6
Enoki,11.56,92.87,0.2,50.1,83.07,86.78,25.53,1
Oyster,25.61,89.51,0.32,108.27,73.24,84.96,20.64,4
Shiitake,21.4,80.58,0.6,148.25,58.83,71.27,11.38,6
Shiitake,23.35,87.1,0.51,161.12,58.98,83.55,12.08,6
Shiitake,19.79,83.22,0.58,135.15,60.39,75.2,12.9,6
Oyster,22.63,86.87,0.4,131.41,61.54,81.31,18.64,4
Enoki,12.38,100.52,0.19,49.91,71.69,88.97,26.66,1
Button,20.38,91.58,0.3,104.67,70.98,85.26,21.8,0
Portobello,18.38,86.7,0.41,121.64,62.86,85.93,18.12,5
Shiitake,20.81,77.15,0.57,148.56,58.65,78.03,11.17,6
Button,18.4,93.79,0.2,80.48,72.0,88.78,23.66,0
Oyster,22.76,86.15,0.51,136.44,65.38,80.49,15.73,4
Shiitake,22.91,80.3,0.68,170.2,58.69,72.83,10.41,6
Oyster,23.27,92.67,0.31,111.96,70.28,83.84,21.27,4
Milky,21.97,86.48,0.32,97.46,70.09,85.68,15.94,3
Button,20.54,86.88,0.29,94.68,76.57,91.68,21.35,0
Enoki,10.51,97.64,0.1,38.7,83.07,89.13,23.66,1
Oyster,24.75,96.92,0.4,115.04,66.9,80.48,18.35,4
Enoki,12.71,90.26,0.21,46.84,81.05,85.65,27.35,1
Enoki,10.44,90.2,0.1,42.21,71.14,90.13,28.63,1
Portobello,18.45,85.52,0.49,128.95,71.95,88.47,20.13,5
Portobello,17.44,94.4,0.48,127.99,62.13,80.84,18.11,5
Enoki,10.3,98.18,0.1,39.02,75.21,97.54,26.83,1
Button,19.45,91.9,0.32,97.9,78.87,77.77,22.14,0
Lion's Mane,20.35,94.33,0.2,78.19,67.3,87.67,14.27,2
Lion's Mane,21.92,85.14,0.27,96.58,73.52,92.58,15.7,2
Oyster,24.13,90.46,0.32,113.78,70.76,80.02,17.98,4
Enoki,12.59,85.96,0.21,52.42,69.99,100.59,27.43,1
Milky,12.32,93.69,0.21,55.86,81.4,94.27,27.18,3
Portobello,17.57,79.26,0.4,128.21,67.64,81.85,19.14,5
Enoki,12.92,102.53,0.09,30.35,79.51,89.23,27.06,1
Shiitake,19.54,82.47,0.59,147.19,60.16,81.79,12.52,6
Milky,25.16,64.09,0.8,193.43,54.3,68.52,9.54,3
Enoki,12.71,99.97,0.09,27.4,80.09,99.6,29.07,1
Button,18.92,89.94,0.32,98.12,81.13,91.56,20.54,0
Enoki,10.28,92.88,0.1,40.28,76.09,86.45,27.63,1
Portobello,18.35,90.07,0.49,128.21,64.4,83.78,20.39,5
Milky,28.62,72.23,0.96,208.17,56.71,75.59,8.06,3
Lion's Mane,21.31,92.27,0.41,83.75,67.33,89.51,14.96,2
Oyster,22.71,94.66,0.32,115.67,69.71,83.91,17.99,4
Shiitake,20.66,76.37,0.53,160.93,63.21,67.56,12.22,6
Shiitake,23.31,74.61,0.68,167.88,61.32,78.82,10.65,6
Milky,18.58,95.05,0.21,81.53,66.75,85.83,14.36,3
Shiitake,22.69,82.94,0.48,162.43,65.49,81.43,13.32,6
Shiitake,21.06,86.21,0.58,150.16,62.36,78.51,12.03,6
Shiitake,21.83,77.37,0.78,175.94,60.29,72.61,11.03,6
Oyster,21.11,93.52,0.41,123.23,67.33,91.82,19.97,4
Oyster,24.89,87.66,0.33,104.9,72.84,89.79,18.83,4
Lion's Mane,20.5,77.8,0.31,98.95,69.22,88.24,15.74,2
Button,21.25,85.25,0.29,96.96,75.03,85.09,20.38,0
Shiitake,21.32,85.01,0.58,149.59,58.69,71.66,11.54,6
Portobello,19.6,85.36,0.43,154.38,61.19,82.91,19.08,5
Enoki,11.34,102.13,0.21,46.11,78.0,87.65,26.14,1
Oyster,24.85,91.58,0.3,113.63,72.77,85.91,17.75,4
Enoki,11.78,98.41,0.1,30.12,83.64,94.95,27.51,1
Milky,25.18,83.4,0.6,176.66,56.62,75.92,10.84,3
Shiitake,24.02,72.39,0.59,189.34,58.96,71.47,9.86,6
Milky,26.43,67.57,0.57,177.6,60.84,76.63,10.09,3
Oyster,23.83,82.35,0.49,147.41,67.64,84.79,17.68,4
Milky,25.35,69.43,0.9,191.57,53.32,67.07,7.53,3
Milky,30.44,70.21,0.86,224.74,50.37,68.06,7.54,3
Button,18.3,88.29,0.21,76.85,67.7,99.15,23.55,0
Lion's Mane,20.99,87.58,0.32,85.71,68.71,87.93,15.27,2
Lion's Mane,20.27,94.33,0.38,83.15,69.48,87.64,14.56,2
Milky,27.09,83.02,0.55,201.68,57.3,79.14,10.36,3
Milky,27.27,65.37,0.91,205.61,58.48,71.35,7.38,3
Shiitake,22.05,78.19,0.57,151.41,60.67,77.58,13.39,6
Milky,28.21,69.12,0.83,200.87,61.14,68.81,8.74,3
Oyster,23.07,91.19,0.49,143.57,69.94,79.21,17.26,4
Enoki,11.83,86.66,0.19,45.23,80.47,101.51,27.59,1
Oyster,23.92,85.89,0.39,118.75,64.48,84.71,17.4,4
Lion's Mane,23.26,91.54,0.32,95.31,71.23,89.28,16.01,2
Shiitake,11.78,90.43,0.1,29.11,80.5,100.16,27.56,6
Milky,24.89,74.77,0.78,209.1,59.33,73.64,8.33,3
Oyster,22.35,88.54,0.48,134.83,66.92,71.48,15.77,4
Milky,25.41,69.41,0.74,196.53,57.68,69.31,9.86,3
Oyster,22.21,86.71,0.47,157.8,65.87,79.74,12.27,4
Portobello,18.35,89.69,0.51,132.23,70.13,81.25,20.05,5
Shiitake,20.24,84.75,0.65,161.7,66.67,84.39,13.44,6
Shiitake,21.12,83.75,0.46,155.51,60.98,82.36,12.82,6
Oyster,21.73,81.24,0.4,126.55,59.36,78.18,17.0,4
Enoki,11.48,100.51,0.1,35.63,82.31,94.41,26.21,1
Enoki,21.26,91.53,0.29,100.07,78.78,86.26,24.44,1
Milky,26.59,71.94,0.58,184.11,54.41,80.23,10.42,3
Lion's Mane,20.28,84.97,0.28,99.66,76.01,94.0,16.77,2
Shiitake,22.43,83.52,0.61,171.64,57.38,79.19,11.85,6
Milky,16.26,94.22,0.51,127.85,63.15,85.79,20.64,3
Oyster,22.56,82.07,0.54,136.47,62.81,75.23,16.84,4
Button,19.43,92.9,0.29,103.22,74.55,77.5,23.68,0
Enoki,10.58,105.13,0.11,39.83,79.58,99.5,28.19,1
Portobello,18.65,90.83,0.48,138.12,67.77,80.35,20.79,5
Milky,25.02,71.66,0.57,184.86,59.15,73.18,9.33,3
Milky,26.18,72.98,0.6,199.82,53.68,79.72,10.49,3
Button,18.95,89.19,0.3,96.77,76.35,83.42,23.75,0
Lion's Mane,20.9,91.64,0.4,87.36,66.19,86.64,15.31,2
Enoki,10.67,94.05,0.1,38.2,81.2,95.79,25.69,1
Milky,29.35,65.58,0.86,207.82,53.36,67.35,8.39,3
Milky,26.71,75.97,0.6,176.87,55.62,77.11,9.47,3
Enoki,10.68,96.92,0.11,37.93,75.79,81.59,29.23,1
Milky,23.07,90.76,0.38,110.98,62.58,79.29,18.68,3
Shiitake,21.79,81.39,0.62,146.79,57.63,84.29,12.11,6
Button,18.4,87.77,0.21,73.49,69.99,99.61,24.18,0
Milky,25.26,76.38,0.6,214.75,57.66,72.09,10.32,3
Enoki,11.24,101.03,0.1,31.16,77.71,93.88,28.09,1
Oyster,22.13,87.88,0.39,109.72,62.46,90.6,17.01,4
Oyster,22.55,80.23,0.55,132.41,67.02,76.79,17.25,4
Oyster,21.56,93.35,0.39,129.03,72.11,81.04,16.63,4
Shiitake,24.87,79.54,0.68,169.49,54.8,70.62,11.25,6
Shiitake,21.12,86.95,0.59,149.22,59.36,81.78,12.25,6
Enoki,12.26,90.61,0.19,46.99,79.05,88.28,29.03,1
Portobello,16.82,87.86,0.48,122.31,64.72,83.72,21.99,5
Shiitake,21.9,88.15,0.59,165.81,58.27,78.35,12.87,6
Button,19.97,86.83,0.28,103.62,79.15,83.56,22.73,0
Lion's Mane,20.79,85.96,0.17,79.92,77.63,95.22,15.28,2
Lion's Mane,21.62,85.6,0.38,88.76,68.35,86.34,13.31,2
Enoki,10.97,92.17,0.09,27.17,76.65,93.46,28.37,1
Shiitake,23.73,67.49,0.51,156.27,58.64,76.47,12.9,6
Shiitake,20.39,81.86,0.55,139.71,59.37,83.55,11.68,6
Shiitake,22.0,82.79,0.5,157.86,61.83,77.62,13.32,6
Shiitake,20.82,83.35,0.67,170.93,55.74,78.6,10.84,6
Oyster,24.6,87.01,0.3,108.31,73.15,86.27,18.97,4
Lion's Mane,20.16,91.44,0.2,81.54,70.97,91.86,14.53,2
Lion's Mane,20.79,87.53,0.18,76.39,70.97,89.74,14.95,2
Lion's Mane,20.01,87.48,0.22,78.43,72.27,93.61,15.21,2
Enoki,10.3,95.96,0.1,38.05,79.82,86.33,29.95,1
Enoki,11.52,94.41,0.1,31.28,82.12,96.43,27.58,1
Button,20.28,90.54,0.29,96.23,74.62,88.15,23.27,0
Milky,18.63,93.26,0.2,76.48,67.2,90.02,15.97,3
Enoki,11.02,87.85,0.11,29.61,81.3,96.08,28.99,1
Enoki,10.62,92.48,0.1,38.34,76.02,95.55,29.2,1
Milky,23.89,66.77,1.02,207.58,55.92,75.05,8.09,3
Oyster,10.46,92.52,0.11,31.71,88.28,94.05,29.39,4
Enoki,11.64,85.21,0.2,50.09,78.63,96.13,26.68,1
Portobello,18.31,81.55,0.5,122.29,73.64,83.57,18.82,5
Button,10.29,94.31,0.1,31.96,74.34,95.95,27.71,0
Button,18.58,95.93,0.11,67.79,79.32,90.84,23.28,0
Milky,27.27,74.24,0.6,191.52,61.55,72.85,10.23,3
Button,18.09,87.33,0.18,78.21,78.68,91.24,21.8,0
Portobello,17.8,92.74,0.53,131.08,66.1,84.41,18.92,5
Enoki,19.55,92.5,0.1,61.34,78.54,83.05,24.03,1
Portobello,18.96,84.03,0.51,129.44,69.09,84.69,19.77,5
Enoki,12.05,104.66,0.2,43.58,75.49,93.08,25.48,1
Oyster,23.83,89.77,0.38,115.22,65.33,72.51,19.51,4
Lion's Mane,20.18,90.07,0.3,100.48,67.4,80.65,15.81,2
Oyster,23.59,90.98,0.38,109.7,60.98,80.25,18.12,4
Milky,26.44,71.93,0.77,202.29,55.06,82.0,9.04,3
Button,19.53,87.54,0.11,60.38,81.32,93.38,20.92,0
Milky,25.12,76.87,0.59,192.43,57.39,75.85,9.48,3
Button,18.41,93.07,0.21,84.85,75.35,85.34,22.72,0
Enoki,11.35,102.83,0.2,50.35,72.89,87.24,25.79,1
Portobello,18.26,88.75,0.53,122.09,66.52,78.14,18.89,5
Milky,26.24,67.89,0.88,211.53,54.52,66.47,8.1,3
Oyster,23.39,89.34,0.42,119.19,64.75,88.8,16.53,4
Oyster,25.13,90.62,0.28,106.72,72.47,89.41,18.96,4
Portobello,18.95,88.47,0.42,148.53,74.38,80.54,19.1,5
Button,20.61,88.29,0.1,63.53,75.47,90.33,22.85,0
Milky,29.58,72.11,0.76,199.61,57.09,74.97,8.49,3
Oyster,21.78,89.89,0.4,125.81,64.65,77.63,18.81,4
Button,18.2,100.28,0.11,60.96,82.76,88.59,23.89,0
Lion's Mane,21.48,85.83,0.31,95.44,69.43,83.21,16.06,2
Shiitake,22.17,83.85,0.52,157.17,64.2,86.48,13.37,6
Enoki,10.64,93.43,0.1,39.85,79.38,87.12,31.79,1
Lion's Mane,21.69,80.7,0.3,91.33,73.33,92.53,14.85,2
Portobello,17.53,95.99,0.47,135.43,61.19,77.85,20.03,5
Lion's Mane,19.05,91.89,0.37,94.03,65.37,78.26,15.0,2
Oyster,23.24,88.69,0.39,117.8,66.4,85.47,17.47,4
Button,18.8,92.38,0.1,58.3,76.29,90.82,20.34,0
Button,20.96,99.71,0.1,58.12,78.22,90.69,24.55,0
Oyster,23.81,91.97,0.29,110.73,68.66,78.45,19.32,4
Lion's Mane,21.38,93.95,0.21,78.78,65.77,97.69,14.95,2
Lion's Mane,20.28,88.38,0.2,76.64,74.43,86.77,14.16,2
Milky,25.82,68.68,0.74,210.23,51.52,67.07,9.04,3
Enoki,22.87,80.79,0.33,86.16,68.24,89.44,14.72,1
Enoki,10.21,98.78,0.1,39.15,83.84,91.81,27.93,1
Portobello,19.19,82.12,0.4,151.29,66.71,81.14,19.85,5
Lion's Mane,20.99,93.94,0.22,77.24,76.92,91.47,14.01,2
Portobello,18.6,84.75,0.4,139.12,70.45,76.11,19.25,5
Shiitake,22.9,84.63,0.46,168.05,60.23,74.64,14.71,6
Button,20.28,86.33,0.28,102.97,78.38,90.78,21.51,0
Lion's Mane,20.37,92.24,0.2,85.84,74.32,89.68,14.85,2
Oyster,22.55,90.26,0.3,111.02,73.22,88.28,18.44,4
Shiitake,20.04,81.19,0.49,166.68,59.27,77.47,13.37,6
Milky,26.53,66.01,0.89,194.87,55.54,73.95,7.22,3
Enoki,10.64,91.97,0.1,39.17,78.69,97.11,24.54,1
Shiitake,21.39,91.04,0.5,167.81,63.25,77.74,12.07,6
Lion's Mane,19.55,92.1,0.31,96.3,71.45,89.28,16.65,2
Oyster,25.24,80.69,0.61,184.53,59.77,76.31,9.17,4
Button,18.77,90.12,0.2,75.94,77.37,89.33,24.81,0
Portobello,16.4,78.63,0.42,147.87,65.28,84.8,20.32,5
Lion's Mane,19.66,92.06,0.21,83.38,71.54,93.25,13.15,2
Button,19.54,83.1,0.31,92.49,74.48,82.51,22.27,0
Oyster,23.17,91.08,0.41,119.26,60.64,80.69,19.33,4
Enoki,10.49,93.19,0.11,38.32,83.69,89.57,29.85,1
Milky,26.95,67.61,0.89,204.72,60.11,72.83,7.57,3
Portobello,18.06,82.28,0.4,143.73,64.82,80.51,19.92,5
Button,19.56,90.54,0.32,96.49,71.04,83.09,24.92,0
Enoki,10.5,103.93,0.1,43.63,74.38,77.04,28.34,1
Portobello,22.61,90.15,0.58,144.56,62.01,79.01,11.76,5
Milky,25.97,66.43,0.8,213.53,52.28,73.4,7.56,3
Enoki,11.47,103.17,0.1,32.7,87.78,91.71,29.92,1
Oyster,22.19,90.84,0.51,135.36,65.33,77.32,16.15,4
Milky,25.92,75.23,0.72,203.06,54.61,68.51,9.16,3
Oyster,18.9,97.44,0.2,78.57,79.6,84.55,25.55,4
Oyster,25.28,88.84,0.32,112.7,65.72,89.98,20.47,4
Lion's Mane,20.13,87.93,0.28,96.91,72.95,89.63,15.72,2
Milky,28.4,68.89,0.8,190.95,55.94,73.25,9.03,3
Enoki,11.59,96.81,0.19,51.74,75.99,85.4,27.38,1
Milky,27.75,71.29,0.77,198.02,56.53,64.68,8.58,3
Enoki,10.97,95.62,0.09,39.61,72.03,97.98,26.86,1
Enoki,11.53,98.48,0.09,30.33,84.06,93.84,30.06,1
Milky,25.62,70.68,0.65,189.4,55.68,77.75,9.96,3
Enoki,11.05,81.45,0.1,43.09,82.07,97.83,25.15,1
Lion's Mane,17.97,88.74,0.2,72.8,70.36,84.68,15.64,2
Milky,28.24,76.55,0.57,199.75,58.7,73.86,9.64,3
Enoki,9.86,105.43,0.1,40.0,84.36,102.88,25.99,1
Shiitake,18.77,86.35,0.59,155.35,61.54,75.28,11.7,6
Lion's Mane,19.1,93.89,0.2,73.03,67.32,87.5,15.92,2
Portobello,17.42,82.15,0.38,152.59,68.85,78.16,20.05,5
Lion's Mane,21.77,84.7,0.32,98.82,67.2,89.76,15.67,2
Lion's Mane,21.35,85.23,0.42,77.82,65.55,81.07,14.06,2
Shiitake,22.59,90.25,0.49,163.46,61.29,66.65,12.87,6
Button,17.76,92.8,0.18,80.33,76.79,87.8,24.36,0
Oyster,22.52,88.63,0.39,114.45,59.29,79.15,18.43,4
Enoki,11.07,98.24,0.1,28.38,86.09,99.3,27.36,1
Enoki,11.38,90.97,0.21,49.87,75.07,91.39,29.59,1
Button,18.31,92.41,0.2,76.77,80.68,81.73,24.29,0
Lion's Mane,22.31,85.65,0.33,99.08,71.99,91.73,16.27,2
Portobello,17.68,84.2,0.36,146.07,63.65,78.43,18.16,5
Shiitake,22.95,84.14,0.73,170.7,57.65,78.45,10.61,6
Button,17.21,86.51,0.19,83.95,73.02,88.02,20.33,0
Enoki,11.41,93.66,0.1,32.13,78.64,91.93,29.93,1
Lion's Mane,22.25,98.88,0.41,80.31,64.76,92.7,15.54,2
Milky,29.55,69.24,0.8,191.69,53.93,68.29,8.64,3
Oyster,24.49,85.04,0.5,138.14,69.29,78.32,17.83,4
Lion's Mane,19.9,94.3,0.21,80.32,75.64,89.06,14.03,2
Button,19.3,108.01,0.1,59.37,71.43,95.12,25.46,0
Milky,25.61,70.4,0.63,189.52,58.49,73.55,10.23,3
Portobello,17.42,88.13,0.57,135.22,73.4,82.97,19.69,5
Portobello,19.66,81.15,0.44,132.89,69.97,75.48,18.58,5
Oyster,22.51,86.65,0.41,120.61,62.42,92.09,18.67,4
Milky,27.32,74.14,0.82,202.32,56.1,75.01,9.26,3
Milky,24.73,80.83,0.66,192.44,56.97,77.81,10.55,3
Milky,26.33,76.47,0.56,185.68,53.16,70.67,10.28,3
Shiitake,22.51,81.82,0.48,158.49,62.56,72.9,12.04,6
Portobello,19.89,88.41,0.2,86.43,72.65,90.66,14.43,5
Enoki,10.8,90.6,0.1,27.79,85.88,94.26,29.61,1
Lion's Mane,23.5,88.37,0.4,127.26,65.13,79.77,17.1,2
Button,18.83,99.47,0.11,56.14,73.76,99.27,26.1,0
Oyster,24.52,86.77,0.27,102.73,70.07,79.25,18.94,4
Portobello,16.7,86.16,0.54,132.14,62.0,80.03,18.79,5
Enoki,11.08,93.51,0.11,37.43,82.71,99.57,29.41,1
Oyster,22.25,94.21,0.3,104.19,72.4,74.37,19.27,4
Portobello,17.58,95.95,0.57,130.63,68.63,83.96,20.5,5
Button,18.18,94.47,0.19,79.69,74.78,93.72,23.74,0
Lion's Mane,19.61,105.15,0.1,60.79,75.2,95.52,26.33,2
Enoki,12.23,89.12,0.19,46.28,79.6,83.8,26.33,1
Lion's Mane,20.9,94.23,0.19,84.49,70.98,86.78,14.79,2
Shiitake,20.68,81.25,0.68,161.87,57.91,74.61,11.59,6
Shiitake,22.04,77.39,0.49,161.85,62.22,77.26,12.66,6
Button,21.26,94.09,0.1,62.97,77.27,83.92,20.64,0
Button,19.5,90.08,0.3,104.32,74.52,77.72,21.74,0
Shiitake,22.94,79.94,0.5,162.21,59.82,70.15,13.33,6
Button,21.33,82.91,0.3,105.29,74.29,88.9,24.77,0
Enoki,11.47,103.72,0.09,31.0,81.46,90.3,26.2,1
Lion's Mane,21.71,84.6,0.43,96.28,67.12,85.12,14.3,2
Milky,21.94,77.37,0.64,200.41,62.85,77.57,9.73,3
Portobello,18.25,88.68,0.39,151.74,62.11,86.88,19.64,5
Button,18.64,87.39,0.1,59.62,78.4,86.69,21.06,0
Button,15.87,93.63,0.19,80.65,79.93,85.73,26.33,0
Portobello,19.42,77.03,0.42,149.92,60.85,74.96,20.7,5
Button,17.81,94.13,0.21,79.33,71.2,94.71,24.62,0
Enoki,9.63,93.87,0.1,40.01,78.12,99.05,24.79,1
Shiitake,20.36,85.13,0.61,152.76,62.37,80.57,11.77,6
Lion's Mane,20.78,87.75,0.41,83.97,65.48,84.51,16.42,2
Lion's Mane,20.66,89.54,0.2,85.43,72.47,95.91,14.61,2
Enoki,11.04,82.49,0.1,28.44,79.47,97.37,29.17,1
Milky,25.69,77.67,0.62,192.83,58.28,73.61,10.89,3
Portobello,19.95,86.51,0.38,145.76,71.47,83.6,20.38,5
Enoki,13.43,96.91,0.19,54.63,75.14,90.06,27.63,1
Milky,26.48,66.08,0.8,199.49,55.44,74.38,8.53,3
Shiitake,22.78,82.04,0.7,157.1,58.8,68.39,10.51,6
Button,17.83,90.38,0.19,77.22,76.09,96.2,20.9,0
Shiitake,24.37,84.15,0.73,177.95,59.27,76.5,11.13,6
Portobello,15.8,85.72,0.4,147.49,63.17,80.67,19.42,5
Oyster,23.82,87.05,0.31,110.43,70.64,80.5,17.37,4
Milky,28.22,67.23,0.96,202.61,50.21,69.76,7.97,3
Milky,27.0,66.35,0.77,196.4,54.34,71.85,9.02,3
Lion's Mane,18.07,83.24,0.29,90.35,70.43,85.18,15.34,2
Lion's Mane,19.1,95.72,0.21,77.01,65.24,85.77,15.41,2
Portobello,16.87,86.02,0.47,122.74,71.78,84.16,21.47,5
Shiitake,21.46,83.48,0.75,170.46,59.24,78.79,10.62,6
Button,17.97,94.28,0.18,88.33,79.23,96.59,24.43,0
Button,24.93,77.01,0.58,188.22,58.56,71.56,10.52,0
Shiitake,20.14,79.53,0.57,160.65,57.25,78.49,11.7,6
Lion's Mane,20.81,86.98,0.38,98.75,65.42,87.82,15.79,2
Lion's Mane,19.87,94.06,0.2,76.16,69.1,91.44,16.25,2
Milky,28.63,68.5,0.92,219.46,55.24,68.8,8.21,3
Milky,24.77,76.22,0.6,180.57,56.55,74.27,9.7,3
Milky,25.67,72.01,0.8,198.16,52.88,78.0,8.83,3
Enoki,10.92,96.61,0.1,30.3,76.96,99.92,29.2,1
Enoki,21.08,80.39,0.56,147.07,59.15,75.79,12.08,1
Milky,27.3,76.89,0.6,180.61,57.45,71.43,10.1,3
Shiitake,18.94,94.22,0.39,90.41,69.17,84.22,16.02,6
Enoki,12.17,99.22,0.1,29.65,72.91,90.01,28.49,1
